"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&cc=TW"
"Access Time","Tue 2020-04-14 06:44:06 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","cc","TW"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.00849"
"Records Found","136"
"Records Returned","136"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"208531","col","Chungliao","120.650002","24.033333","Chungliao Fm., Sample No. 86","","","9","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208534","col","Chungliao","120.650002","24.033333","Chungliao Fm., Sample No. 60","","","15","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208537","col","Chungliao","120.650002","24.033333","Chungliao Fm., Sample No. 61","","","12","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208539","col","Chungliao","120.650002","24.033333","Chungliao Fm., Sample No. 62","","","6","Early Eocene","Middle Eocene","55.8","37.2","71925"
"208541","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 98","","","7","Late Oligocene","","28.4","23.03","71925"
"208542","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 51","","","7","Late Oligocene","","28.4","23.03","71925"
"208543","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 53","","","7","Late Oligocene","","28.4","23.03","71925"
"208544","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 54","","","12","Late Oligocene","","28.4","23.03","71925"
"208550","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 55","","","11","Late Oligocene","","28.4","23.03","71925"
"208551","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 64","","","3","Late Oligocene","","28.4","23.03","71925"
"208552","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 65","","","9","Late Oligocene","","28.4","23.03","71925"
"208553","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 66","","","12","Late Oligocene","","28.4","23.03","71925"
"208554","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 67","","","6","Late Oligocene","","28.4","23.03","71925"
"208555","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 68","","","8","Late Oligocene","","28.4","23.03","71925"
"208556","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 70","","","7","Late Oligocene","","28.4","23.03","71925"
"208557","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 71","","","9","Late Oligocene","","28.4","23.03","71925"
"208558","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 72","","","10","Late Oligocene","","28.4","23.03","71925"
"208559","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 73","","","5","Late Oligocene","","28.4","23.03","71925"
"208560","col","Wuchihshan","120.650002","24.033333","Wuchihshan Fm., Sample No. 74","","","6","Late Oligocene","","28.4","23.03","71925"
"208610","col","Nanchuang","120.366669","23.299999","Chiayi","","","1","Neogene","Late Miocene","23.03","5.333","72027"
"208791","col","Kungkuan Tuff","121.366669","25.000000","Lingchiao","","","2","Neogene","","23.03","2.588","72070"
"208792","col","","121.533333","22.049999","Lanyu","","","","Early Cretaceous","","145","100.5","72071"
"208816","col","","120.260834","22.655277","Kaohsiung","","","1","Early Pleistocene","","2.588","0.781","72076"
